"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
2477,6,"x[, 6] x[, 7] x[, 8] x[, 10] x[, 12] x[, 14]",0.684918706421503,0.681130153793304,0.669203103192064,105.708161630777,3112.08828459491,1673.92734349202,3145.90057794921,13648.1830083497,27.3452881301497,0.32392124971096,0.0541609549067841
2478,6,"x[, 2] x[, 6] x[, 7] x[, 10] x[, 12] x[, 14]",0.684892717506163,0.681103852385996,0.670426682009963,105.757462516381,3112.13001937611,1673.96805790639,3145.94231273041,13649.3087542444,27.3475436571919,0.323947967774226,0.0541654222760012
2479,6,"x[, 2] x[, 7] x[, 8] x[, 10] x[, 12] x[, 14]",0.684796506635005,0.681006484670697,0.669184761563611,105.939974217647,3112.28449143354,1674.1187538643,3146.09678478784,13653.4762614995,27.3558936101935,0.324046877948381,0.0541819604607823
2480,6,"x[, 3] x[, 7] x[, 8] x[, 9] x[, 11] x[, 14]",0.684772118444991,0.680981803235913,0.669260034461242,105.986238532655,3112.32364057695,1674.15694613996,3146.13593393125,13654.5326697578,27.358010213421,0.324071950376192,0.0541861526730354
2481,6,"x[, 3] x[, 5] x[, 6] x[, 7] x[, 9] x[, 14]",0.68467050558515,0.680878968578158,0.669650025127782,106.178997788413,3112.48672203309,1674.3160422362,3146.29901538738,13658.9341716412,27.3668289944363,0.324176414097832,0.0542036194336205
2482,6,"x[, 3] x[, 5] x[, 7] x[, 9] x[, 13] x[, 14]",0.684388001650713,0.680593067802826,0.668940655190513,106.714906808552,3112.93984487258,1674.7580969091,3146.75213822688,13671.1712211784,27.3913469573954,0.324466843994357,0.054252180497593
2483,6,"x[, 3] x[, 6] x[, 7] x[, 9] x[, 13] x[, 14]",0.684162608602903,0.680364964618168,0.670094274720637,107.142476667496,3113.30107378146,1675.11050774734,3147.11336713576,13680.9344334923,27.4109083784018,0.324698560694811,0.0542909244755681
2484,6,"x[, 3] x[, 4] x[, 7] x[, 9] x[, 13] x[, 14]",0.684116290246024,0.680318089327139,0.669979728187861,107.230342435803,3113.3752745279,1675.18289775558,3147.1875678822,13682.9407773286,27.4149282578436,0.324746178564708,0.0542988863777482
2485,6,"x[, 2] x[, 3] x[, 6] x[, 7] x[, 9] x[, 14]",0.684059872522534,0.680260993234228,0.670546175098061,107.337366668844,3113.46563948876,1675.27105779488,3147.27793284306,13685.3845892299,27.4198246415259,0.324804179150181,0.0543085843123453
2486,6,"x[, 4] x[, 6] x[, 7] x[, 8] x[, 12] x[, 14]",0.683929843128132,0.680129400360134,0.669347580594904,107.58403199576,3113.6738477288,1675.47418686841,3147.4861410831,13691.0169926998,27.4311096378991,0.324937856663864,0.0543309357381846
2487,6,"x[, 2] x[, 7] x[, 8] x[, 11] x[, 12] x[, 14]",0.683886523465732,0.68008555982003,0.667700596445988,107.666209250657,3113.7431938746,1675.54184169629,3147.5554872289,13692.8934439279,27.4348692665225,0.324982391707574,0.0543383821792448
2488,6,"x[, 2] x[, 3] x[, 7] x[, 9] x[, 13] x[, 14]",0.683863645781336,0.680062407053256,0.669564951412811,107.709608141551,3113.77981265328,1675.57756743314,3147.59210600758,13693.8844225414,27.436854775927,0.325005911250851,0.0543423147428664
2489,6,"x[, 6] x[, 7] x[, 8] x[, 11] x[, 12] x[, 14]",0.683767787202361,0.679965395866117,0.668012358225025,107.891451545724,3113.93321825837,1675.7272323937,3147.74551161267,13698.0366697723,27.4451741541802,0.325104459248875,0.0543587923703203
2490,6,"x[, 3] x[, 6] x[, 7] x[, 8] x[, 12] x[, 14]",0.683663823498477,0.679860182097657,0.668657700351244,108.088670344782,3114.09954220225,1675.88950167771,3147.91183555654,13702.5400017243,27.454196960344,0.325211339770103,0.0543766632296597
2491,6,"x[, 2] x[, 3] x[, 7] x[, 10] x[, 12] x[, 14]",0.683652733635145,0.679848958889275,0.669138625280963,108.109707778485,3114.11728083887,1675.90680794078,3147.92957419317,13703.0203745277,27.4551594278542,0.325222740771885,0.0543785695236863
2492,6,"x[, 2] x[, 3] x[, 4] x[, 7] x[, 9] x[, 14]",0.683512103772883,0.679706638086785,0.669864284828431,108.376482157531,3114.34216945342,1676.12621597898,3148.15446280772,13709.1119519577,27.4673644180635,0.325367316161345,0.0544027431188307
2493,6,"x[, 2] x[, 4] x[, 7] x[, 8] x[, 12] x[, 14]",0.683473331584781,0.679667399700029,0.668318634131044,108.450032868871,3114.40415452707,1676.18669079462,3148.21644788137,13710.7914230328,27.4707293803024,0.325407176146307,0.054409407870989
2494,6,"x[, 2] x[, 4] x[, 7] x[, 10] x[, 12] x[, 14]",0.683463265732232,0.679657212815185,0.668796408345225,108.469127757539,3114.42024555797,1676.20238979299,3148.23253891227,13711.2274393896,27.4716029759231,0.325417524407545,0.0544111381425002
2495,6,"x[, 2] x[, 3] x[, 7] x[, 8] x[, 12] x[, 14]",0.683433826529784,0.679627419634351,0.668185309219971,108.524973826264,3114.46730342572,1676.24830122523,3148.27959678002,13712.5026392533,27.4741579466233,0.32544778955956,0.0544161985994323
2496,6,"x[, 3] x[, 4] x[, 5] x[, 7] x[, 9] x[, 14]",0.683422704369071,0.679616163740242,0.6681279088804,108.546072527992,3114.48508079718,1676.26564552129,3148.29737415148,13712.9844110625,27.4751232171599,0.325459223764863,0.054418110445223
2497,6,"x[, 2] x[, 4] x[, 6] x[, 7] x[, 12] x[, 14]",0.682469309865749,0.678651305575558,0.667958661932051,110.354658716708,3116.00664492514,1677.7501861276,3149.81893827944,13754.2820156035,27.557866458115,0.326439366811364,0.05458199436266
2498,6,"x[, 2] x[, 3] x[, 5] x[, 7] x[, 9] x[, 14]",0.682412391739616,0.678593703063138,0.667291102848596,110.462632211893,3116.09733849191,1677.83867559613,3149.90963184621,13756.747503139,27.5628062707624,0.326497881838832,0.0545917783140584
2499,6,"x[, 2] x[, 3] x[, 6] x[, 7] x[, 12] x[, 14]",0.682301180364664,0.678481154477265,0.667684807726087,110.67359981876,3116.27449623943,1678.01152881065,3150.08678959373,13761.5647780102,27.5724580880977,0.3266122133726,0.0546108950131029
2500,6,"x[, 2] x[, 4] x[, 7] x[, 11] x[, 12] x[, 14]",0.682133158402199,0.678311112210643,0.667009133448554,110.992336920407,3116.54203465497,1678.27256884808,3150.35432800927,13768.8428822324,27.5870403850142,0.3267849493781,0.0546397771781754
2501,6,"x[, 4] x[, 7] x[, 8] x[, 11] x[, 12] x[, 14]",0.682123827140241,0.678301668749141,0.666425752093185,111.010038293179,3116.55688851398,1678.28706199167,3150.36918186828,13769.2470787795,27.5878502269568,0.326794542438991,0.0546413811771067
2502,6,"x[, 3] x[, 7] x[, 8] x[, 11] x[, 12] x[, 14]",0.682057576051655,0.67823462105428,0.666093060896192,111.135716386965,3116.66233698974,1678.38994996063,3150.47463034404,13772.1168365212,27.5936000291293,0.326862652275553,0.054652769419743
2503,6,"x[, 5] x[, 7] x[, 9] x[, 11] x[, 13] x[, 14]",0.681939096938984,0.67811471734306,0.66465455993494,111.360470868012,3116.85085937369,1678.57389565664,3150.66315272799,13777.2489235266,27.6038825991815,0.326984455451505,0.0546731354078531
2504,6,"x[, 2] x[, 3] x[, 7] x[, 11] x[, 12] x[, 14]",0.681930870940624,0.6781063924349,0.666712415592332,111.376075559428,3116.86394586532,1678.58666450116,3150.67623921962,13777.6052440487,27.604596517462,0.326992912239398,0.0546745494173018
2505,6,"x[, 2] x[, 3] x[, 4] x[, 7] x[, 12] x[, 14]",0.681851629700865,0.678026198394663,0.667534318608673,111.526395926608,3116.98999102304,1678.70965050156,3150.80228437734,13781.0376881959,27.6114737094032,0.327074376680273,0.0546881706042807
2506,6,"x[, 2] x[, 6] x[, 7] x[, 11] x[, 12] x[, 14]",0.681683028052355,0.677855569471822,0.666465731921376,111.846232690746,3117.25807297654,1678.97122797161,3151.07036633084,13788.3409023228,27.6261063161357,0.327247708635555,0.0547171524145888
2507,6,"x[, 4] x[, 5] x[, 7] x[, 9] x[, 13] x[, 14]",0.681427818060552,0.677597290822803,0.665457706788769,112.330365192862,3117.66359491698,1679.36691576587,3151.47588827128,13799.395676899,27.6482554912907,0.327510078827529,0.0547610217814459
2508,6,"x[, 3] x[, 6] x[, 7] x[, 10] x[, 12] x[, 14]",0.681337486472876,0.677505873083773,0.666493242751064,112.501723913,3117.80705158685,1679.50689498234,3151.61934494115,13803.3085148401,27.6560951927982,0.327602944768366,0.0547765493457491
2509,6,"x[, 4] x[, 6] x[, 7] x[, 11] x[, 12] x[, 14]",0.681021749739631,0.677186339916861,0.666301308346327,113.100675441491,3118.30815756737,1679.99585989881,3152.12045092167,13816.9850891262,27.6834973652529,0.327927539846833,0.0548308229675739
